Fleet_segment;Species;Year;Variable;Value;Unit;Comments
ITA_18_DTS_1218_OTB_DES;DPS171819;2015;revenues.landing;1696941.65;€;NA
ITA_18_DTS_1218_OTB_DWS_MDD;DPS171819;2015;revenues.landing;25928.79;€;NA
ITA_18_DTS_1218_OTB_DWS_MDD;ARS181920;2015;revenues.landing;12210;€;NA
ITA_18_DTS_1218_OTB_DWS_MDD;ARA181920;2015;revenues.landing;12210;€;NA
ITA_18_DTS_1218_OTB_DES;HKE1718;2016;revenues.landing;7507799.72;€;NA
ITA_18_DTS_1218_OTB_DWS_MDD;HKE1718;2016;revenues.landing;56759.08;€;NA
ITA_18_DTS_1218_OTB_DES;MUT1718;2016;revenues.landing;7561378.71;€;NA
ITA_18_DTS_1218_OTB_DES;DPS171819;2016;revenues.landing;2382998.25;€;NA
ITA_18_DTS_1218_OTB_DWS_MDD;DPS171819;2016;revenues.landing;4124.7;€;NA
ITA_18_DTS_1218_OTB_DWS_MDD;ARS181920;2016;revenues.landing;10797.44;€;NA
ITA_18_DTS_1218_OTB_DWS_MDD;ARA181920;2016;revenues.landing;10797.44;€;NA
ITA_18_DTS_1218_OTB_DES;HKE1718;2017;revenues.landing;3670295.05;€;NA
ITA_18_DTS_1218_OTB_DWS_MDD;HKE1718;2017;revenues.landing;385683.45;€;NA
ITA_18_DTS_1218_OTB_DES;MUT1718;2017;revenues.landing;1035992.15;€;NA
ITA_18_DTS_1218_OTB_DES;DPS171819;2017;revenues.landing;1776171.4;€;NA
ITA_18_DTS_1218_OTB_DWS_MDD;DPS171819;2017;revenues.landing;211405.63;€;NA
ITA_18_DTS_1218_OTB_DWS_MDD;ARS181920;2017;revenues.landing;1674427.98;€;NA
ITA_18_DTS_1218_OTB_DWS_MDD;ARA181920;2017;revenues.landing;1674427.98;€;NA
ITA_18_DTS_1218_OTB_DES;HKE1718;2018;revenues.landing;5052487.36;€;NA
ITA_18_DTS_1218_OTB_DWS_MDD;HKE1718;2018;revenues.landing;310061.29;€;NA
ITA_18_DTS_1218_OTB_DES;MUT1718;2018;revenues.landing;2592779.15;€;NA
ITA_18_DTS_1218_OTB_DES;DPS171819;2018;revenues.landing;3368900.4;€;NA
ITA_18_DTS_1218_OTB_DWS_MDD;DPS171819;2018;revenues.landing;282072.71;€;NA
ITA_18_DTS_1218_OTB_DWS_MDD;ARS181920;2018;revenues.landing;1622170.19;€;NA
ITA_18_DTS_1218_OTB_DWS_MDD;ARA181920;2018;revenues.landing;1622170.19;€;NA
ITA_18_DTS_1218_OTB_DES;HKE1718;2019;revenues.landing;3688747.567;€;NA
ITA_18_DTS_1218_OTB_DWS_MDD;HKE1718;2019;revenues.landing;1051908.452;€;NA
ITA_18_DTS_1218_OTB_DES;MUT1718;2019;revenues.landing;2359284.812;€;NA
ITA_18_DTS_1218_OTB_DES;DPS171819;2019;revenues.landing;4845352.339;€;NA
ITA_18_DTS_1218_OTB_DWS_MDD;DPS171819;2019;revenues.landing;1664827.315;€;NA
ITA_18_DTS_1218_OTB_DWS_MDD;ARS181920;2019;revenues.landing;460756.7956;€;NA
ITA_18_DTS_1218_OTB_DWS_MDD;ARA181920;2019;revenues.landing;460756.7956;€;NA
ITA_18_DTS_1218_OTB_DES;HKE1718;2020;revenues.landing;2539226.18;€;NA
ITA_18_DTS_1218_OTB_DWS_MDD;HKE1718;2020;revenues.landing;132627.3;€;NA
ITA_18_DTS_1218_OTB_DES;MUT1718;2020;revenues.landing;944964.71;€;NA
ITA_18_DTS_1218_OTB_DES;DPS171819;2020;revenues.landing;4817620.1;€;NA
ITA_18_DTS_1218_OTB_DWS_MDD;DPS171819;2020;revenues.landing;188100.74;€;NA
ITA_18_DTS_1218_OTB_DWS_MDD;ARS181920;2020;revenues.landing;948790.23;€;NA
ITA_18_DTS_1218_OTB_DWS_MDD;ARA181920;2020;revenues.landing;948790.23;€;NA
