"Fleet_segment";"Species";"Year";"Revenues";"Landing";"price";"price_Mod1";"price_Mod2";"price_Mod3";"price_Mod4";"price_Mod5"
"ITA_17_DTS_0612";"HKE1718";2015;38578.22;634.04;60.8450886379408;38.8981451517947;15.9719379085241;5.31917529218062;18.3344961173362;53.9839789812957
"ITA_17_DTS_0612";"HKE1718";2016;34065.38;589.78;57.7594696327444;63.4716948529521;63.1477466276764;5.30255935079163;18.3344961173362;56.4665554643013
"ITA_17_DTS_0612";"HKE1718";2017;673.44;142;4.74253521126761;162.532044057023;119.969100069005;5.1373466348972;18.3344961173362;136.780719398349
"ITA_17_DTS_0612";"HKE1718";2018;24439.01333;1167.18;20.9385127658116;2.34634702395142;1.60837689030372;5.52346350480555;18.3344961173362;36.9486349924789
"ITA_17_DTS_0612";"HKE1718";2019;31503.97884;4171.546467;7.55211025197002;12.2639074809444;10.8890690117626;6.83037182294364;18.3344961173362;16.7456542125979
"ITA_17_DTS_0612";"HKE1718";2020;41927.51;8243.65;5.08603713161039;5.40617971850243;5.3236904175668;9.10869807282346;18.3344961173362;10.9672505319257
"ITA_17_DTS_1218";"HKE1718";2013;2901923.68;484711.32;5.98691130217466;NA;NA;NA;6.8375195635491;5.98691130217466
"ITA_17_DTS_1218";"HKE1718";2014;2947953.88;451356.16;6.53132523991697;6.19549377862401;6.19630134471694;NA;6.8375195635491;6.41374633292252
"ITA_17_DTS_1218";"HKE1718";2015;2810295.47;401978.15;6.99116474365584;6.90956204649232;6.90657060208528;NA;6.8375195635491;7.1732270285985
"ITA_17_DTS_1218";"HKE1718";2016;2501671.23;333930.5;7.49159250203261;7.66280685970639;7.64515519322072;NA;6.8375195635491;8.58058681396529
"ITA_17_DTS_1218";"HKE1718";2017;3040228.04;377719.85;8.04889666243381;7.08213938877344;7.05946214804254;NA;6.8375195635491;7.61774275723465
"ITA_17_DTS_1218";"HKE1718";2018;2784064.913;441055.8;6.31227366922734;7.50398708105854;7.46921728634259;NA;6.8375195635491;6.55837233449467
"ITA_17_DTS_1218";"HKE1718";2019;2630122.214;388113.3074;6.77668650843071;6.71821475726206;6.71371570784709;NA;6.8375195635491;7.42060270325659
"ITA_17_DTS_1218";"HKE1718";2020;2285950.9;351226.25;6.50848534242529;7.11221992679451;7.11098429382508;NA;6.8375195635491;8.17209153558923
"ITA_17_DTS_1840";"HKE1718";2013;12097584.81;1689677.17;7.15970187962;NA;NA;NA;7.49456857851668;7.15970187962
"ITA_17_DTS_1840";"HKE1718";2014;9162333.37;1367305.46;6.70101424885702;6.65613457673057;6.66511386585093;NA;7.49456857851668;8.69972758533988
"ITA_17_DTS_1840";"HKE1718";2015;11181644.37;1632120.27;6.85099289282156;7.02535525657752;7.11440307944771;NA;7.49456857851668;7.39174380788785
"ITA_17_DTS_1840";"HKE1718";2016;11148253.15;1399647.9;7.96504117214051;6.5115417521891;6.50412296003395;NA;7.49456857851668;8.51454840675679
"ITA_17_DTS_1840";"HKE1718";2017;13925561.47;1463471.96;9.51542759316004;8.06866491040417;8.08604554068017;NA;7.49456857851668;8.17220869924388
"ITA_17_DTS_1840";"HKE1718";2018;12085153;1416166.78;8.53370744934435;9.42060893289815;9.41029298386779;NA;7.49456857851668;8.42310341708654
"ITA_17_DTS_1840";"HKE1718";2019;7700893.389;1163910.673;6.61639554275313;7.98197186107617;7.98602315238371;NA;7.49456857851668;10.0896677001873
"ITA_17_DTS_1840";"HKE1718";2020;7735924.31;1139026.85;6.79169618345696;6.57327583474655;6.56822234773988;NA;7.49456857851668;10.2923492020662
"ITA_17_PGP_0012";"HKE1718";2013;37459.49;4573.1;8.19126850495288;NA;NA;12.3501233978238;22.1244966204023;8.19126850495288
"ITA_17_PGP_0012";"HKE1718";2014;50270.34;468.09;107.394603601871;52.0098204691793;37.0694004846237;17.3824064138069;22.1244966204023;64.4016220504001
"ITA_17_PGP_0012";"HKE1718";2015;20317.49;3494.35;5.81438321862435;50.6604868863857;28.3603656406726;13.5107443293821;22.1244966204023;10.4486503516782
"ITA_17_PGP_0012";"HKE1718";2016;5867.02;595.02;9.86020637961749;23.0962933045918;18.7825356413522;17.1996681005878;22.1244966204023;51.8352354001223
"ITA_17_PGP_0012";"HKE1718";2017;15595.32;1418.69;10.9927609273344;6.36821028604621;5.54546548209212;16.0596423799149;22.1244966204023;23.6173492922582
"ITA_17_PGP_0012";"HKE1718";2018;13926.61;3580.27;3.88982115873942;6.94435249953878;5.9541072955693;13.4144347804343;22.1244966204023;10.2215362946436
"ITA_17_PGP_0012";"HKE1718";2019;161614.1416;6467.248212;24.98963025729;2.83062690842066;2.62924702081619;10.5481970088831;22.1244966204023;5.98667693453472
"ITA_17_PGP_0012";"HKE1718";2020;11525.31;637.7;18.0732476085934;164.337494008281;115.922835443418;17.1386552422571;22.1244966204023;48.6863602520919
"ITA_18_DTS_0612";"HKE1718";2013;239590.92;45382.83;5.2793296495613;NA;NA;7.02316157184718;13.9445192019269;5.2793296495613
"ITA_18_DTS_0612";"HKE1718";2014;93694.92;18617.11;5.0327317182957;9.85496693211889;9.67032180279535;5.95294377474244;13.9445192019269;9.67721767411038
"ITA_18_DTS_0612";"HKE1718";2015;398991.66;64582.29;6.17803518580713;2.87336974991154;2.16203703004327;7.90745133030188;13.9445192019269;4.15315076714929
"ITA_18_DTS_0612";"HKE1718";2016;497288.24;73830.12;6.73557404484782;5.71152322367304;5.64119753960615;8.37229390443266;13.9445192019269;3.79185857777174
"ITA_18_DTS_0612";"HKE1718";2017;379090.12;57538.45;6.58846597362286;7.88528376822373;7.97852289352263;7.57078553718479;13.9445192019269;4.49248496706408
"ITA_18_DTS_0612";"HKE1718";2018;425123.34;6437.9;66.0344739744327;38.1146784952297;29.1683742879055;5.52153989973394;13.9445192019269;19.9239535484763
"ITA_18_DTS_0612";"HKE1718";2019;30188.40385;4459.359433;6.769672708282;83.696858952917;84.7411913199111;5.4544710881644;13.9445192019269;25.5756653365716
"ITA_18_DTS_0612";"HKE1718";2020;10182.75;1919;5.30627931214174;12.1721631861815;12.003652943062;5.36955080301562;13.9445192019269;45.3801217112945
"ITA_18_DTS_1218_OTB_DES";"HKE1718";2013;9088955.02;1474699.82;6.16325769945507;NA;NA;NA;6.00304516108876;6.16325769945507
"ITA_18_DTS_1218_OTB_DES";"HKE1718";2014;6128589.24;919966.75;6.6617508078417;6.06320854084818;6.32401302246516;NA;6.00304516108876;8.65455767182902
"ITA_18_DTS_1218_OTB_DES";"HKE1718";2015;6848876.8;1022604.95;6.69748058622247;6.67975114781544;6.62341278422763;NA;6.00304516108876;8.02042089397951
"ITA_18_DTS_1218_OTB_DES";"HKE1718";2016;7507799.72;960633.39;7.8154682089491;6.68584904130223;6.72036652713369;NA;6.00304516108876;8.38938118548351
"ITA_18_DTS_1218_OTB_DES";"HKE1718";2017;3670295.05;900358.92;4.07647991092264;7.80138297977463;7.84315172222818;NA;6.00304516108876;8.78974397333671
"ITA_18_DTS_1218_OTB_DES";"HKE1718";2018;5052487.36;922495.01;5.47698069391183;4.0791132900001;4.0710807613755;NA;6.00304516108876;8.63748662013169
"ITA_18_DTS_1218_OTB_DES";"HKE1718";2019;3688747.567;724147.9071;5.09391455921257;5.43659468100657;5.54981072453521;NA;6.00304516108876;10.280784767814
"ITA_18_DTS_1218_OTB_DES";"HKE1718";2020;2539226.18;450872;5.63181164499015;5.01079735565023;5.22733168989461;NA;6.00304516108876;14.4566262102744
"ITA_18_DTS_1840_OTB_DES";"HKE1718";2013;5005749.64;781647.65;6.40409990358188;NA;NA;NA;6.08393451693633;6.40409990358188
"ITA_18_DTS_1840_OTB_DES";"HKE1718";2014;4019495.24;597760.55;6.72425646021639;6.65022166299059;6.72471180347829;NA;6.08393451693633;7.80771726378605
"ITA_18_DTS_1840_OTB_DES";"HKE1718";2015;3018129.51;464760.99;6.49393898141064;6.96465548618492;7.0396489382959;NA;6.08393451693633;9.40330272842132
"ITA_18_DTS_1840_OTB_DES";"HKE1718";2016;3714697.07;603980.32;6.15036110779239;6.30693413845675;6.19131190472521;NA;6.08393451693633;7.74822948177289
"ITA_18_DTS_1840_OTB_DES";"HKE1718";2017;4110599.23;552675.6;7.43763471736404;6.22168836833873;6.25060867077941;NA;6.08393451693633;8.27346872301583
"ITA_18_DTS_1840_OTB_DES";"HKE1718";2018;3211129.68;611031.52;5.25526028509953;7.34889377214246;7.30289485810575;NA;6.08393451693633;7.68206498324724
